,Urban Pop. 1355 (census 1976),Rural Pop. 1355 (census1976),Urban Pop. 1365 (census1986),Rural Pop. 1365 (census1986),Urban Pop. 1375 (census1996),Rural Pop. 1375 (census1996),Urban Pop. 1385 (census2006),Rural Pop. 1385 (census2006),Urban Pop. 1390 (census2011),Rural Pop. 1390 (census2011)
East Azerbaijan,1188292,2009393,1998809,2111578,2004484,1321056,2402539,1200820,2579178,1145442
West Azerbaijan,446714,960890,902999,1068512,1315161,1181159,1724954,1148505,1932544,1148032
Ardabil,,,,,568448,599563,715597,512195,798942,449546
Esfahan,1370076,806618,2112061,1176673,2914874,1008381,3798728,758890,4168219,710989
Alborz,,,,,,,,,2184371,228142
Ilam,48595,197429,156658,212092,259687,228199,331231,210703,356896,199327
Bushehr,119144,228719,306075,300413,394489,349186,577465,303409,704393,325993
Tehran,4869911,461255,7536152,1175642,8912331,1431634,12260431,1161889,11305832,877437
Chahar Mahal and Bakhtiari,140272,254085,229471,397899,342905,418263,442298,414624,521071,372746
South Khorasan ,,,,,219103,316378,326695,308305,371054,291435
Razavi Khorasan ,1245258,2019140,2548999,2724858,2883563,1836339,3811900,1779980,4311210,1682405
North Khorasan ,,,,,293549,439097,392458,414365,446827,419068
Khuzestan,1275109,912009,1485356,1161602,2342514,1404258,2873564,1383946,3218451,1301268
Zanjan,317289,799868,682754,905796,429013,471877,559340,405261,634809,380925
Semnan,123997,165466,244832,172130,342455,158992,440559,149183,486345,144873
Sistan and Baluchestan,162854,501348,487709,672742,794528,928051,1193198,1206547,1243079,1288160
Fars,872768,1162814,1624586,1504261,2163119,1653917,2652947,1650614,3106732,1475350
Qazvin,,,,,552928,415329,777975,365203,878241,322787
Qom,,,,,777677,75367,983094,63639,1095871,55798
Kurdistan,190375,592065,428213,650185,705715,640668,855819,584337,985874,507771
Kerman,350806,740342,698755,882275,1060075,944253,1552519,1089748,1689842,1242344
Kermanshah,441885,588829,821766,634385,1098282,680314,1255319,618718,1355094,586621
Kohgiluyeh and Buyer Ahmad,30867,213503,111308,294788,213563,330793,302192,329849,346626,310518
Golestan,,,,,588985,837303,795126,819584,906182,870068
Gilan,461355,1120517,784173,1296859,1049980,1191916,1295751,1109104,1497170,983701
Lorestan,294618,639321,639038,712561,850016,734418,1020150,691448,1075951,677416
Mazandaran,776819,1610352,1315216,2102253,1194233,1407775,1554143,1368233,1682152,1391786
Markazi,460805,629569,476127,605655,701547,527265,932073,419184,1045001,368958
Hormozgan,123462,338987,308199,452019,443970,618185,661325,740605,788471,786379
Hamadan,325716,762848,563316,942155,810640,867317,980771,721225,1040605,716669
Yazd,218233,138616,381989,192018,589955,220446,789803,200988,889583,184829
